date,username,rawContent
2022-10-24 16:34:43+00:00,AKidAtHeart69,"@_miggypot29 @pads_nosi Choose among the logic below:
1. Ang kasalanan ng ama hindi kasalanan ng anak.
2. The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong.
3. Ban K-Drama because…"
2022-10-24 16:04:45+00:00,hamada91k,"the peso isnt weak because the peso is weak, the peso is weak because the dollar is strong"
2022-10-24 14:15:54+00:00,nmak689,"@alainajvllns ""The peso is weak, because the dollar is strong..."" amp mental gymnastics hahaha"
2022-10-24 13:17:10+00:00,heyjunnn,@sandromarcos7 pabili naman nito oh. Ang mahal kasi dahil the peso is weak because the dollar is strong.
2022-10-24 03:44:32+00:00,malebag1999,"FPLBM: Our economy is strong. It's the other nations' economies that are weak that affected ours.

Sandra: The Peso is not weak because it is weak. The Peso is weak because the US Dollar is strong.

Babaeng Ahas: Ang galing ng mag-ama ko.

Creative Scriptwriter: Beli gud."
2022-10-24 02:33:02+00:00,JesusJRonquill1,"@datumx11 Hahahahaha!🤪😛😜😂😅😁! Comedy lalo ang nangyayare sa ferdinand marcos, dayunyor nato! Ano bato naka-bato(cocaine)????fake president! Fake 31m voters! Fake diploma, tax evader, ang mabigat neto may grupo ng bayarang fake trolls😆! THE WEAK IS NOT, WEAK PESO, STRONG DOLLAR! 🎭"
2022-10-24 02:10:57+00:00,teddycasino,The peso is weak because the dollar is strong.
2022-10-23 17:05:43+00:00,babybea59211498,@KrstnnBonVoyage @Witch13Blade Expert sec ung tuta ka coolab ni duterte sa pagnanakaw sa doh si doke na expert accomplice....u make sense.... But it stil doest bot follow pulis to lead health ... Ur logic is damned.... Para ung logic ni zandro weak peso dahil strong dollar
2022-10-23 13:05:25+00:00,tessbriggs08,"@News5PH I see. Prang peso is weak because dollar is strong. So ngayon , ok naman economy pero apektado lang ng kalapit na bansa. Ibig sabihin weak ang peso at down ang economy. Ganun lang ka simple . Pinapa ikot ikot pa. Haist. Paki bigyan ng tylenol under secretary of health😂🤣"
2022-10-23 02:51:52+00:00,andrei_monten,"…I’m broke not because peso is weak or the dollar is strong. I’m broke because I keep on buying new cases for my new phone 😂😂😂 

bahalag walay bugas Basta hilas

#iphone13promax 999 Gb Fully paid with Glutathione and freezer 🙄"
2022-10-22 23:04:57+00:00,ayokosabobo2,"@nabunturanguy At hm kaya kickback sa importation? Kaya nga weak ang peso at strong ang dollar dahil sa importations na ginagawa. More shortages (kuno) on goods, more imports! More imports, more kickbacks! Ganun lang kasimple!"
2022-10-22 15:49:02+00:00,DIFFANG1,"In the lines of ""D Peso is weak coz the Dollar is strong.."" 😂

"" We have high inflation rate kasi Mataas ang mga BILIHIN.."" 

7.2% to 8% Oct 5, 2022

And the SLUG thought it was a passing Mark... 

🤣😂🤫

My Gadh.... https://t.co/EjZLtDAw8B"
2022-10-22 15:29:29+00:00,reejeweled,hi @.gaon at @.hyunjin chat naman kayo sakin sayang 428 php ko alam niyo namang the peso is not weak because the peso is weak. the peso is weak because the dollar is strong */nagtampo
2022-10-22 14:12:24+00:00,scaravhs,"sa letrang t

the peso is weak not because the peso is weak. The peso is weak because the dollar is strong."
